time,c
0, 0
0.7174202762566253, 1.4723618820657407
1.0624296799425323, 3.2396320730041595
2.397213353649171, 4.770045627597433
4.221902077114372, 6.535572088697727
6.049912190747435, 8.06540440001163
8.621913701979963, 9.29974715917347
12.048758007664105, 11.122308117062403
14.244196908616097, 12.828475108256562
17.920145476889353, 14.473974832166004
22.70502318745511, 16.17709029614345
27.49322228818872, 17.644511610334508
30.805893806852858, 18.819058967130694
35.59907499283825, 19.932939056642162
39.401651561260955, 21.34259931994536
44.80721405944457, 22.750370542590602
49.601225592971936, 23.80532709465547
54.51273130368717, 25.272603098026682
59.068433092670936, 25.73861489726525
63.861614278656326, 26.85249498677672
68.89891764197904, 28.14285506698829
75.17509953791159, 29.01929727687524
80.33653985875787, 30.25058850882037
85.87454278988469, 31.01005550873318
89.56128587620347, 31.889549245836847
94.2394639276269, 32.414339271702175
97.3088436164957, 33.35348310035165
100.01660695083928, 33.70382748699468
