time,sample,n_simulations,P_failure,g_mean,g_std,g_min,g_max,carb_depth_mean,carb_depth_std,lambda_1_mean,lambda_2_mean,lambda_3_mean,lambda_4_mean
0,1,1000,0.0,16.407603119075517,0.09390042473357914,16.160177146181343,16.801823514606973,2.389271246239684,0.09390042473357914,16.40551787520573,15.796536882889596,0.14780111634751641,0.10598584190662257
10,1,1000,0.0,5.437770825487514,0.4106568161778958,4.243972689814152,6.940625308153146,13.359103539827688,0.41065681617789573,5.4081671558873845,3.799625071518961,0.16849995702728873,0.03275815041611247
20,1,1000,0.675,-0.39339723708939334,0.7650688708804728,-2.7556082908225434,1.982406023148549,19.190271602404597,0.7650688708804726,-0.36465476546309994,1.8461544116592916,0.12601522320621214,0.19756976738306875
30,1,1000,1.0,-4.701648398399247,0.8440696504914685,-7.126260500506355,-1.8097668219976697,23.498522763714448,0.8440696504914685,-4.734879155178401,1.6703645064764352,0.20075739968288897,0.12572658225240188
40,1,1000,1.0,-8.620396826181416,0.8481839953175258,-11.770498381494964,-5.147215470242671,27.417271191496617,0.8481839953175258,-8.67678555617759,1.782663440370566,0.18279378064736698,0.057106987100172375
50,1,1000,1.0,-11.87882134679726,0.7788850032628487,-14.017163396872252,-8.866062646791228,30.67569571211246,0.7788850032628487,-11.953922592192864,2.017374236157007,0.1940072071892792,0.011098627210985654
60,1,1000,1.0,-15.159273976108398,0.9995459222673844,-18.181847635565465,-11.4685740109839,33.9561483414236,0.9995459222673844,-15.245380858868833,1.3568857012155544,0.282487963734829,0.11535987463204785
70,1,1000,1.0,-18.07050201380201,1.1649189090916587,-21.72830723796093,-13.409665772249742,36.86737637911721,1.1649189090916587,-18.080613627366127,1.364114945762232,0.08904228942754797,0.0729252363543929
80,1,1000,1.0,-20.67707492420845,1.1564870868054953,-24.11227025090827,-16.522707826256163,39.47394928952365,1.1564870868054953,-20.69926668064607,1.3796631766835399,0.09664754721799085,0.0610224232607158
90,1,1000,1.0,-23.169900977088727,1.294562471695886,-26.966808268293985,-18.945785420996433,41.966775342403935,1.294562471695886,-23.206031397015472,1.1055145265182946,0.17821965804756418,0.12526332653105945
100,1,1000,1.0,-25.674633440702987,1.4703681352802342,-29.75495277014753,-21.392005045812336,44.47150780601819,1.4703681352802342,-25.755797966074393,0.8332087936629803,0.32259465662887804,0.21400984767052866
0,2,1000,0.0,18.73538608870894,0.006194175816966491,18.703538763879145,18.75116815070174,0.2107752386181034,0.006194175816966492,18.736472287198485,171.04842349457664,-0.0517498472468706,0.15126721738010143
10,2,1000,0.0,10.413471499043597,0.13235653157377075,10.006986228882814,10.776783041374063,8.532689828283448,0.13235653157377075,10.417533716171683,10.193596371843615,0.16414299795307347,0.22310335468964793
20,2,1000,0.0,6.875437042382069,0.18459273736908235,6.2145367175122725,7.423962167057242,12.070724284944976,0.18459273736908235,6.889577443480306,7.820445587562599,0.0799530493188264,0.22641911397802478
30,2,1000,0.0,3.7075306518594218,0.19964124532665214,2.8980747124302333,4.4951177409951715,15.238630675467622,0.19964124532665214,3.6970393954582743,8.912728432194799,0.06431646507921915,-0.03201692381609055
40,2,1000,0.0,1.4263960515856469,0.2736669748935552,0.5893477467125692,2.4023494583298017,17.519765275741396,0.2736669748935552,1.4081671853920825,5.904697255322034,0.1394337847526699,0.014955553393361153
50,2,1000,0.982,-0.7871563165756831,0.3129984798926634,-1.4955001038947806,0.5402366565413921,19.733317643902726,0.3129984798926634,-0.851696820897452,4.170165658726398,0.49044384035942645,0.06373283503988769
60,2,1000,1.0,-2.924477154309524,0.4186309376530184,-3.887407973403011,-1.0212968450135982,21.87063848163657,0.41863093765301834,-2.9575285115682792,3.017142766809331,0.32688613311976805,0.17183174117867953
70,2,1000,1.0,-4.733182289610053,0.4979586936394107,-5.814190877447281,-3.201329152619877,23.679343616937096,0.4979586936394107,-4.768707864286407,2.555298935457297,0.31211499253259156,0.17246106519211665
80,2,1000,1.0,-6.168663180623475,0.48616624613128356,-7.318512936337559,-4.646719022032183,25.114824507950523,0.48616624613128356,-6.187728030595295,2.709268954237163,0.249801836968587,0.1740139287553695
90,2,1000,1.0,-7.383851016069118,0.5038108960259691,-9.028400025286519,-5.929239411888275,26.330012343396163,0.503810896025969,-7.36119850254073,2.7774365751460293,0.12625027286516,0.21214149344533087
100,2,1000,1.0,-8.804884723232165,0.4899319980451655,-10.566959043350835,-7.480774486090233,27.751046050559207,0.4899319980451655,-8.782381799144643,2.950041295789272,0.10329003967537644,0.19048268048719932
0,3,1000,0.0,15.40001294191605,0.03774137487141698,15.352693291316024,15.594976267303128,1.042872068164872,0.037741374871417016,15.39819127554838,26.509382723667485,1.082728258464821,-0.0007352938009197452
10,3,1000,0.0,12.00726172437784,0.06797365864830793,11.79332687264386,12.218391212350332,4.435623285703083,0.06797365864830794,12.007578154696915,21.332077916231988,0.13717364480277164,0.14597069757629882
20,3,1000,0.0,10.54276816372438,0.09086802773607747,10.184244694832358,10.77803431531811,5.900116846356542,0.09086802773607747,10.561030576555577,15.515097097904142,0.016182818153394948,0.4270795461421607
30,3,1000,0.0,8.90173185916657,0.15491966538365615,8.546013964706251,9.487563080096859,7.541153150914352,0.15491966538365615,8.890309120092537,8.29648220607736,0.30732684105110936,0.1632123013089362
40,3,1000,0.0,7.842177016525393,0.15606082480192124,7.3316873946994505,8.397396943558524,8.60070799355553,0.15606082480192124,7.841821388645827,9.556601248558865,0.1246462857120753,0.12036401253463344
50,3,1000,0.0,6.822459211817753,0.15283756216416866,6.229546180166704,7.2763891610605,9.620425798263168,0.15283756216416866,6.827629085009777,9.666079175671369,0.09865711457918687,0.16248022802884027
60,3,1000,0.0,5.769788631370922,0.1709178489118115,5.16873425247171,6.426019570036525,10.67309637871,0.1709178489118115,5.7795352073487845,8.881088027489849,0.06187253829723741,0.16935484518220797
70,3,1000,0.0,4.912627433959431,0.2098211188764039,4.252761373095263,5.706165481049011,11.53025757612149,0.2098211188764039,4.9010119935809815,7.094444573206288,0.18066130516904086,0.07597681908548651
80,3,1000,0.0,4.204123968742782,0.2658062103378078,3.4640949354130885,5.055784484532623,12.238761041338137,0.2658062103378078,4.203387096065028,5.270217960070719,0.16819936781725425,0.16292355758833083
90,3,1000,0.0,3.5796025368594675,0.2821074720461715,2.563425300892364,4.325033713994925,12.863282473221455,0.28210747204617154,3.5910885069960865,5.331066087505528,0.08104838484307024,0.1576814044866581
100,3,1000,0.0,2.8725919836861395,0.2695199038104235,1.949358651551309,3.703404059282443,13.570293026394783,0.2695199038104235,2.8784221875174745,5.57317044630607,0.09810074353774702,0.1387309839587694
